ticker,N,MAPE,date_start,date_end,model_type,notes,n_epochs,sentiment_variance,price_variance
XRX,112,9.87796218777122,2020-09-10 00:00:00,2021-02-17 00:00:00,prophet, ,,0.07095997346324444,0.09574369677843386
XRX,116,6.467245831114505,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,8.0,0.07095997346324444,0.09574369677843386
XRX,116,7.453834917342202,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,8.0,0.07095997346324444,0.09574369677843386
AAPL, , , , , ,error during data_prep,,,
AMZN,120,3.8017623656826607,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.14780158351850653,0.024481636260115562
AMZN,120,4.959664224657757,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.14780158351850653,0.024481636260115562
AMZN,124,9.345220032631394,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,53.0,0.14780158351850653,0.024481636260115562
AMZN,124,9.338875450391471,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,64.0,0.14780158351850653,0.024481636260115562
TSLA,120,3.9109239681728303,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.3106711224399684,0.7291705766634051
TSLA,120,4.669162670416149,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3106711224399684,0.7291705766634051
TSLA,124,42.086003913317946,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,17.0,0.3106711224399684,0.7291705766634051
TSLA,124,48.51560224789343,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,18.0,0.3106711224399684,0.7291705766634051
CSCO, , , , , ,error during data_prep,,,
KO, , , , , ,error during data_prep,,,
DIS, , , , , ,error during data_prep,,,
XOM, , , , , ,error during data_prep,,,
GS, , , , , ,error during data_prep,,,
IBM, , , , , ,error during data_prep,,,
INTC, , , , , ,error during data_prep,,,
JNJ, , , , , ,error during data_prep,,,
JPM, , , , , ,error during data_prep,,,
MCD, , , , , ,error during data_prep,,,
MRK, , , , , ,error during data_prep,,,
MSFT, , , , , ,error during data_prep,,,
NKE, , , , , ,error during data_prep,,,
PFE, , , , , ,error during data_prep,,,
UNH, , , , , ,error during data_prep,,,
VZ, , , , , ,error during data_prep,,,
V,119,97.31416743826784,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.1489552224188403,1.6804599923484924
V,119,124.08312679102787,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.1489552224188403,1.6804599923484924
V,123,93.83683188243783,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.1489552224188403,1.6804599923484924
V,123,93.5736892859945,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,4.0,0.1489552224188403,1.6804599923484924
WMT, , , , , ,error during data_prep,,,
WBA, , , , , ,error during data_prep,,,
AMGN,112,10.76334176237675,2020-09-10 00:00:00,2021-02-17 00:00:00,arima, ,,0.3202341477245208,0.1703003902035279
AMGN,112,12.686047244287128,2020-09-10 00:00:00,2021-02-17 00:00:00,prophet, ,,0.3202341477245208,0.1703003902035279
AMGN,116,9.914713833160002,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,17.0,0.3202341477245208,0.1703003902035279
AMGN,116,9.818293661591532,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,16.0,0.3202341477245208,0.1703003902035279
BA,195,100.80032904023295,2020-06-01 00:00:00,2021-02-18 00:00:00,arima, ,,0.3405810060054693,0.5609763519319283
BA,195,136.77709924350597,2020-06-01 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3405810060054693,0.5609763519319283
BA,199,93.32838177742097,2020-05-26 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.3405810060054693,0.5609763519319283
BA,199,94.28967874706228,2020-05-26 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,4.0,0.3405810060054693,0.5609763519319283
CAT,116,14.314288831607092,2020-09-11 00:00:00,2021-02-18 00:00:00,arima, ,,0.30069672386095125,0.6985874754193802
CAT,116,15.009053479529557,2020-09-11 00:00:00,2021-02-18 00:00:00,prophet, ,,0.30069672386095125,0.6985874754193802
CAT,120,28.439174209462298,2020-09-04 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,6.0,0.30069672386095125,0.6985874754193802
CAT,120,29.470454859063594,2020-09-04 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,5.0,0.30069672386095125,0.6985874754193802
CVX,115,6.704347819580127,2020-09-22 00:00:00,2021-02-18 00:00:00,arima, ,,0.4046462445975162,0.24091811019137516
CVX,115,8.564431669667153,2020-09-22 00:00:00,2021-02-18 00:00:00,prophet, ,,0.4046462445975162,0.24091811019137516
CVX,119,9.524021872461665,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,10.0,0.4046462445975162,0.24091811019137516
CVX,119,10.731667012504927,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,11.0,0.4046462445975162,0.24091811019137516
